item,Fecha Partida,compro_codi,compro_nume,linea_nume,fecha,depo,produc,OC cod,OC Numero,CANTI_EXIS,ubi,Fecha_ing,host_name_alta,name,Llave,,
AR7515,2026-03-31,TRAUB,23194,1,2026-04-17,98,B&P-041-MS05-2RS,,,20,V-00-00-00,,ZARLENGA-V,vzarlenga,B&P-041-MS05-2RSAR7515,,
AR7514,2026-03-31,APROB,25416,1,2026-04-17,01,B&P-041-MS06-2RS,,,472,B-06-02-01,,ZARLENGA-V,vzarlenga,B&P-041-MS06-2RSAR7514,,
AR7514,2026-03-31,APROB,25416,2,2026-04-17,01,B&P-041-MS06-2RS,,,1180,B-20-03-01,,ZARLENGA-V,vzarlenga,B&P-041-MS06-2RSAR7514,,
AR7514,2026-03-31,APROB,25416,3,2026-04-17,01,B&P-041-MS06-2RS,,,1160,C-01-01-01,,ZARLENGA-V,vzarlenga,B&P-041-MS06-2RSAR7514,,
AR7514,2026-03-31,APROB,25416,4,2026-04-17,01,B&P-041-MS06-2RS,,,1180,C-01-04-02,,ZARLENGA-V,vzarlenga,B&P-041-MS06-2RSAR7514,,
AR7514,2026-03-31,APROB,25416,5,2026-04-17,01,B&P-041-MS06-2RS,,,988,C-12-01-03,,ZARLENGA-V,vzarlenga,B&P-041-MS06-2RSAR7514,,
5088IC06000120Y,2025-07-01,APROB,25413,1,2026-04-17,01,B&P-047-SP205-AL,,0,100,X-00-00-00,2026-03-26,EXP-ROTULO,rortiz,B&P-047-SP205-AL5088IC06000120Y,,
A000300003106,2026-04-13,APROB,25414,1,2026-04-17,01,BPB-044-BP17010-05,,0,1715,X-00-00-00,2026-04-13,LGONZALEZ,lgonzalez,BPB-044-BP17010-05A000300003106,,
5088IC06000120Y,2025-07-01,APROB,25415,1,2026-04-17,01,B&P-047-SP205-AL,,0,207,D-11-05-02,2026-03-26,EXP-ROTULO,rortiz,B&P-047-SP205-AL5088IC06000120Y,,
AR4681,2026-04-20,TRAUB,23195,1,2026-04-17,98,BPB-133-PB001335,,,80,X-00-00-00,,LGONZALEZ,lgonzalez,BPB-133-PB001335AR4681,,
AR4683,2026-04-20,TRAUB,23196,1,2026-04-17,98,BPB-133-PB000721,,,200,X-00-00-00,,LGONZALEZ,lgonzalez,BPB-133-PB000721AR4683,,
AR4679,2026-04-20,TRAUB,23197,1,2026-04-17,98,BPB-133-PB000840,,,20,X-00-00-00,,LGONZALEZ,lgonzalez,BPB-133-PB000840AR4679,,
AR4680,2026-04-20,TRAUB,23198,1,2026-04-17,98,BPB-133-PB003292,,,40,X-00-00-00,,LGONZALEZ,lgonzalez,BPB-133-PB003292AR4680,,
AR4682,2026-04-20,TRAUB,23199,1,2026-04-17,98,BPB-133-PB005519,,,16,X-00-00-00,,LGONZALEZ,lgonzalez,BPB-133-PB005519AR4682,,
