host_id,item,Fecha Partida,produc,descrip_larga,Llave,OC Tipo,OC numero,ubi,obser,canti_real_item,Cant_Despachada,canti_real,Comp,Num,Fecha_ing,Subgrupo,costo_prome_ponde,depO,uni_medi_stock,depo_descrip,,,Observacion
25876,A000400000422,2026-04-01,BPB-044-BP17010-04,Planchuela acople rápido,BPB-044-BP17010-04A000400000422,,0,X-00-00-00,,1000,1000,1094,INAC,7147,2026-04-17,Partes y Piezas,0,101,C/Uno,Control de Calidad,,,
25876,A000400000429,2026-04-17,BPB-044-BP17010-04,Planchuela acople rápido,BPB-044-BP17010-04A000400000429,,0,X-00-00-00,,94,91,1094,INAC,7148,2026-04-17,Partes y Piezas,0,101,C/Uno,Control de Calidad,,,
25876,AR7306,2023-03-22,B&P-041-MS01-2RS,6201 = 12x32x10,B&P-041-MS01-2RSAR7306,,0,H-21-02-03,,2000,2000,2596,INSI,1053,2026-04-14,RODAMIENTO DE BOLAS,0,101,C/Uno,Control de Calidad,,,
25876,6088IC06000010N,2026-01-16,B&P-047-ECL209-28DG,"Tipo HC/YEL/UEL = 1""3/4x85x22/56.3",B&P-047-ECL209-28DG6088IC06000010N,,0,I-11-02-02,,140,140,152,INSI,1053,2026-04-14,AUTOCENTRANTES,0,101,C/Uno,Control de Calidad,,,
25876,AR7518,2026-04-13,000-053-X-30211,Cono,000-053-X-30211AR7518,,,G-18-01-03,,540,1000,1001,,,2026-04-13,CONO,0,101,C/Uno,Control de Calidad,,,
25876,AR7518,2026-04-13,000-053-X-30211,Cono,000-053-X-30211AR7518,,,G-21-02-01,,460,1000,1001,,,2026-04-13,CONO,0,101,C/Uno,Control de Calidad,,,
25876,AR7517,2026-04-13,000-053-X-32010,Bearing parts,000-053-X-32010AR7517,,,F-16-01-01,,1000,1000,1000,,,2026-04-13,CONO,0,101,C/Uno,Control de Calidad,,,
25876,AR7516,2026-04-13,000-053-X-32210,Cono armado,000-053-X-32210AR7516,,,F-07-01-03,,500,500,500,,,2026-04-13,CONO,105.8383,101,C/Uno,Control de Calidad,,,
25876,AR7520,2026-04-13,000-053-X-33215,Bearing Parts,000-053-X-33215AR7520,,,H-10-02-03,,100,100,100,,,2026-04-13,CONO,0,101,C/Uno,Control de Calidad,,,
25876,6088IC06000115T,2026-04-13,TSG-CAW-0000001,Camellon,TSG-CAW-00000016088IC06000115T,OCREP,181,X-00-00-00,,35,35,60,IDESP,7146,2026-04-13,Camellon Cera perdida,0,101,C/Uno,Control de Calidad,,,
