pieza;descripcion;precio;unidad
000-000-0;PRODUCTO GRAVADO;606.6684;Unidades
000-000-0;Servicio Gravado;16.517999;Unidades
000-000-1;Servicio Exento;0.757955;Unidades
000-000-2;2 x 12 mm, Ball Ends Grade G3;4535.796286;Unidades
000-000-DIESEL;DIESEL FORMULA;0.922411;Litros
000-000-DIESEL-V-POW;DIESEL V-POWER;1.105101;Litros
000-000-GAS;GAS;11.10672;Unidades
000-000-ITC-DIESELVP;ITC + IDC DIESEL VPOWER;0.185466;Litros
000-000-ITC-F.DIESEL;ITC + IDC FORMULA DIESEL;0.169972;Litros
000-000-ITC-NAFTASUP;ITC + IDC NAFTA SUPER;0.228151;Litros
000-000-ITC-NAFTAVP;ITC + IDC NAFTA VPOWER;0.228151;Litros
000-000-NAFTA;NAFTA SUPER;0.915768;Litros
000-000-NAFTA-V-POW;NAFTA V-POWER;1.045482;Litros
000-001-203-KRR2-D;RING-OR-203-KRR2;0.170666;Unidades
000-001-204JY3-UG;RING-OR-UNGRINDED;0.217996;Unidades
000-001-205GP-UG;205GP-UG Aro exterior;0.290014;Unidades
000-001-6004-D;RING-OR-6004-D;0.343993;Unidades
000-001-6005-D;RING-OR-6005-D;0.358985;Unidades
000-001-6006-D;RING-OR-6006-D;0.407006;Unidades
000-001-6007-D;RING-OR-6007-D;0.569983;Unidades
000-001-6008-D;RING-OR-6008-D;0.614011;Unidades
000-001-6201-D;RING-OR-6201-D;0.152006;Unidades
000-001-6202-D;RING-OR-6202-D;0.152995;Unidades
000-001-6203-D;RING-OR-6203-D;0.106667;Unidades
000-001-6203-NFR;RING-OR-NOT FINISH RACEWAY;0.073995;Unidades
000-001-6203-UG;RING-OR-UNGRINDED;0.073995;Unidades
000-001-6204-D;RING-OR-6204-D;0.193;Unidades
000-001-6205-D;RING-OR-6205-D;0.213333;Unidades
000-001-6206-D;RING-OR-6206-D;0.282;Unidades
000-001-6207-D;RING-OR-6207-D;0.386;Unidades
