Empresa;Comp;Numero;Fecha;Producto;Cantidad;Deposito;Ubicacion;Observ;Proveedor;Usuario;OC;CodOC
BPB;IDESP;7098;05/02/2026;B&P-033-CA555R-QX48P;1080;03;X-00-00-00;Bag + Box;ESUN GLOBAL CO.,LTD;pmartinez;1040;OCEUG
BPB;IDESP;7099;05/02/2026;B&P-033-CA555R-QX48P;480;03;X-00-00-00;Bag + Box;ESUN GLOBAL CO.,LTD;pmartinez;1040;OCEUG
BPB;INSI;1039;05/02/2026;B&P-048-NTBS1613-RST;288;03;X-00-00-00;CARP. 1430 / EMB. 1192;;dlosano;0; 
BPB;INSI;1039;05/02/2026;B&P-047-F-209-A;64;03;X-00-00-00;CARP. 1458 / EMB. 1221;;dlosano;0; 
BPB;INSI;1039;05/02/2026;B&P-048-J91-B;532;03;X-00-00-00;CARP. 1459 / EMB. 1222;;dlosano;0; 
BPB;INSI;1039;05/02/2026;B&P-048-DTR1645-DM;104;03;X-00-00-00;CARP. 1459 / EMB. 1222;;dlosano;0; 
BPB;INSI;1039;05/02/2026;B&P-048-203-KRR3-E2;503;03;X-00-00-00;CARP. 1460 / EMB. 1234;;dlosano;0; 
BPB;INSI;1039;05/02/2026;B&P-033-CA555-C2E-48;400;03;X-00-00-00;CARP. 1461 / EMB. 1224;;dlosano;0; 
BPB;INSI;1039;05/02/2026;B&P-001-OR207-A1;195;03;X-00-00-00;CARP. 1467 / EMB. 1232;;dlosano;0; 
BPB;INSI;1039;05/02/2026;B&P-002-SAB207-35-A2;195;03;X-00-00-00;CARP. 1467 / EMB. 1232;;dlosano;0; 
BPB;INSI;1039;05/02/2026;B&P-004-207-DBL-08;1200;03;X-00-00-00;CARP. 1467 / EMB. 1232;;dlosano;0; 
BPB;INSI;1039;05/02/2026;BPB-999-32218-MX;7;03;X-00-00-00;CARP. 1472 / EMB. 1237;;dlosano;0; 
BPB;INSI;1040;05/02/2026;B&P-048-J91-B;114;03;X-00-00-00;CARP. 1459 / EMB. 1222;;dlosano;0; 
BPB;IDESP;7091;14/01/2026;BPB-040-MG-5306-KRR3;200;03;X-00-00-00;;ESUN GLOBAL CO.,LTD;mconde;1083;OCEUG
BPB;IDESP;7091;14/01/2026;B&P-035-KT151922;60;03;X-00-00-00;;ESUN GLOBAL CO.,LTD;mconde;1084;OCEUG
BPB;IDESP;7091;14/01/2026;B&P-037-35723-TFA051;30;03;X-00-00-00;;ESUN GLOBAL CO.,LTD;mconde;1084;OCEUG
BPB;IDESP;7091;14/01/2026;B&P-035-KT101310;60;03;X-00-00-00;;ESUN GLOBAL CO.,LTD;mconde;1084;OCEUG
BPB;IDESP;7091;14/01/2026;B&P-035-KT131816;30;03;X-00-00-00;;ESUN GLOBAL CO.,LTD;mconde;1084;OCEUG
BPB;IDESP;7091;14/01/2026;B&P-035-KT101415;30;03;X-00-00-00;;ESUN GLOBAL CO.,LTD;mconde;1084;OCEUG
