Elegido;1251;3;4;5;6;7;
Numero;Codigo;Juego;Juego+;Juego-;Fecha Rev. Plano; Rev.;Observaciones
1;2206;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
2;3214;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
3;3215;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
4;20178;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
5;20179;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
6;20180;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
7;51102;NO EXIST.;NO EXIST.;NO EXIST.;2016-04-14 00:00:00;0;
8;51103;NO EXIST.;NO EXIST.;NO EXIST.;2016-04-14 00:00:00;A;
9;51104;NO EXIST.;NO EXIST.;NO EXIST.;2016-04-14 00:00:00;A;
10;BPB-040-51105 - ESUN;NO EXIST.;NO EXIST.;NO EXIST.;2016-04-14 00:00:00;0;
11;51109;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
12;51110;NO EXIST.;NO EXIST.;NO EXIST.;2016-11-25 00:00:00;D;
13;51111;NO EXIST.;NO EXIST.;NO EXIST.;………………;……;
14;BPB-040-51112 - ESUN;NO EXIST.;NO EXIST.;NO EXIST.;2016-04-14 00:00:00;A;
15;51113;NO EXIST.;NO EXIST.;NO EXIST.;2016-08-23 00:00:00;0;
16;BPB-040-51114 - ESUN;NO EXIST.;NO EXIST.;NO EXIST.;2016-04-14 00:00:00;A;
17;51115;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
18;B&P-040-51116-HLBR;NO EXIST.;NO EXIST.;NO EXIST.;2023-06-13 00:00:00;A;
19;51117;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
20;B&P-040-51205-HLBR;NO EXIST.;NO EXIST.;NO EXIST.;2016-04-14 00:00:00;0;
21;B&P-048-51206-HLBR;NO EXIST.;NO EXIST.;NO EXIST.;2024-08-13 00:00:00;B;
22;51208;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
23;51210;NO EXIST.;NO EXIST.;NO EXIST.;………………;……;
24;B&P-040-51210-HLBR;NO EXIST.;NO EXIST.;NO EXIST.;2024-08-13 00:00:00;A;
25;51211;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
26;51214;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
27;51215;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
28;51215;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
29;BPB-040-51217 - ESUN;NO EXIST.;NO EXIST.;NO EXIST.;2016-07-11 00:00:00;0;
30;51310;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
31;BPB-040-51310-HLBR;NO EXIST.;NO EXIST.;NO EXIST.;2020-11-06 00:00:00;A;
32;51315;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
33;81210;NO EXIST.;NO EXIST.;NO EXIST.;2014-11-20 00:00:00;…..;
34;81212;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
35;5950109;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
36;5950702;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
37;003-TCX207;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
38;003-TDX213;NO EXIST.;NO EXIST.;NO EXIST.;2012-01-11 00:00:00;0;
39;BPB-045-PFT-4-ZM - JDCZ;NO EXIST.;NO EXIST.;NO EXIST.;2017-09-06 00:00:00;A;
40;BPB-031-12033ROLLER - XZD;NO EXIST.;NO EXIST.;NO EXIST.;2018-05-23 00:00:00;0;
41;17/64;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
42;204KRR11;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
43;205-DBL-08;NO EXIST.;NO EXIST.;NO EXIST.;2016-03-23 00:00:00;A;
44;206-DBL-08;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
45;207-09;NO EXIST.;NO EXIST.;NO EXIST.;2016-08-11 00:00:00;0;
46;207-DBL-08;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
47;BPB-041-BP-18017-01 - YS;NO EXIST.;NO EXIST.;NO EXIST.;2018-11-14 00:00:00;0;
48;209-Seal;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
49;21310-MBW33C;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
50;3T-12080;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
51;3TX-14123;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
52;3TX-14314;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
53;3TX-14349;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
54;3TY-14123;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
55;3TY-14314;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
56;3TY-14349;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
57;4575C25CHSA  ;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
58;4575C25CHSB ;NO EXIST.;NO EXIST.;NO EXIST.;2016-04-04 00:00:00;0;
59;5-12213;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
60;5-14.;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
61;5-153;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
62;5-160;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
63;5-178;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
64;5203KYY2-08;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
65;5-213;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
66;59502-A2;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
67;59502-A3;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
68;59502-A8;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
69;63001-2RLD;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
70;6308 RET/SET;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
71;6310-2RS;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
72;81120TN;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
73;81215-TN;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
74;AG-2565-CHS;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
75;AG25H1-CH;NO EXIST.;NO EXIST.;NO EXIST.;2017-09-21 00:00:00;C;
76;AG-3062-PD;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
77;AG-353040CHS;NO EXIST.;NO EXIST.;NO EXIST.;2014-02-25 00:00:00;A;
78;AG3565CH;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
79;AG-3565-CH;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
80;AG-4515-16;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
81;AG-59196DDH;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
82;AG59205SB;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
83;AG59205SBI;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
84;AG59394501;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
85;AG59394502;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
86;AG59505H;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
87;AG5950701;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
88;AG59512;NO EXIST.;NO EXIST.;NO EXIST.;2016-07-20 00:00:00;0;
89;BPB-033-ASA-100-1 - CHOHO;NO EXIST.;NO EXIST.;NO EXIST.;2016-04-28 00:00:00;0;
90;ASA100-1H;NO EXIST.;NO EXIST.;NO EXIST.;2016-04-28 00:00:00;0;
91;BPB-033-ASA-100-1H-CHOHO;NO EXIST.;NO EXIST.;NO EXIST.;2024-07-15 00:00:00;A;
92;ASA100-2;NO EXIST.;NO EXIST.;NO EXIST.;2016-04-28 00:00:00;0;
93;BPB-033-ASA-100-3-CHOHO;NO EXIST.;NO EXIST.;NO EXIST.;2016-04-28 00:00:00;0;
94;BPB-033-ASA160-1H-RE - CHOHO;NO EXIST.;NO EXIST.;NO EXIST.;2015-11-10 00:00:00;0;
95;BPB-033-ASA-40-1 - ESUN;NO EXIST.;NO EXIST.;NO EXIST.;2016-05-03 00:00:00;A;
96;BPB-033-ASA40-1-REEL - CHOHO;NO EXIST.;NO EXIST.;NO EXIST.;2022-09-07 00:00:00;B;
97;ASA-40-2;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
98;ASA-40-ERCA;NO EXIST.;NO EXIST.;NO EXIST.;2016-09-07 00:00:00;0;
99;ASA-410;NO EXIST.;NO EXIST.;NO EXIST.;2016-11-21 00:00:00;0;
100;ASA-415-H;NO EXIST.;NO EXIST.;NO EXIST.;2016-04-29 00:00:00;0;
101;BPB-033-ASA-50-1 - ESUN;NO EXIST.;NO EXIST.;NO EXIST.;2016-05-03 00:00:00;A;
102;BPB-033-ASA50-1-REEL-CHOHO;NO EXIST.;NO EXIST.;NO EXIST.;2022-09-07 00:00:00;B;
103;ASA-50-2;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
104;ASA-50-ERCA;NO EXIST.;NO EXIST.;NO EXIST.;2016-09-21 00:00:00;0;
105;ASA50-H-1;NO EXIST.;NO EXIST.;NO EXIST.;2015-11-10 00:00:00;0;
106;BPB-033-ASA60-1- CHOHO;NO EXIST.;NO EXIST.;NO EXIST.;2016-05-03 00:00:00;A;
107;BPB-033-ASA-60-1H - ESUN;NO EXIST.;NO EXIST.;NO EXIST.;2015-11-10 00:00:00;0;
108;BPB-033-ASA60-1H-REE - CHOHO;NO EXIST.;NO EXIST.;NO EXIST.;2022-09-07 00:00:00;A;
109;BPB-033-ASA60-1-REEL - CHOHO;NO EXIST.;NO EXIST.;NO EXIST.;2016-05-03 00:00:00;A;
110;ASA-60-2;NO EXIST.;NO EXIST.;NO EXIST.;2016-04-29 00:00:00;0;
