Codigo;Match_Target;Archivo_Auxiliar;Coincidencia;Score;Tipo
B&P-040-51310;B&P-040-51310 - HLBR;R016-01 (INSPECCION DE ESPECIALES).xlsx;B&P-040-51310-HLBR;1.000;desconocido
B&P-040-51310;B&P-040-51310 - HLBR;R016-01 (INSPECCION DE ESPECIALES).xlsx;B&P-040-51310-HLBR;1.000;desconocido
B&P-040-51310;B&P-040-51310 - HLBR;R016-01 (INSPECCION DE ESPECIALES).xlsx;B&P-040-51310-HLBR;1.000;desconocido
B&P-040-51310;B&P-040-51310 - HLBR;R016-01 (INSPECCION DE ESPECIALES).xlsx;B&P-040-51310-HLBR;1.000;desconocido
B&P-040-51310;B&P-040-51310 - HLBR;R016-01 (INSPECCION DE ESPECIALES).xlsx;B&P-040-51310-HLBR;1.000;desconocido
B&P-040-51310;B&P-040-51310 - HLBR;R016-01 (INSPECCION DE ESPECIALES).xlsx;B&P-040-51310-HLBR;1.000;desconocido
B&P-040-51310;B&P-040-51310 - HLBR;R016-01 (INSPECCION DE ESPECIALES).xlsx;B&P-040-51310-HLBR;1.000;desconocido
B&P-040-51310;B&P-040-51310 - HLBR;R016-01 (INSPECCION DE ESPECIALES).xlsx;B&P-040-51310-HLBR;1.000;desconocido
B&P-040-51310;B&P-040-51310 - HLBR;R016-01 (INSPECCION DE ESPECIALES).xlsx;B&P-040-51310-HLBR;1.000;desconocido
B&P-040-51310;B&P-040-51310 - HLBR;R016-01 (INSPECCION DE ESPECIALES).xlsx;B&P-040-51310-HLBR;1.000;desconocido
B&P-040-51310;B&P-040-51310 - HLBR;R016-01 (INSPECCION DE ESPECIALES).xlsx;B&P-040-51310-HLBR;1.000;desconocido
