Codigo;PO;Observac_PO;Columna_D
Producto;OC;;Fecha
FIJ-BUL-0171140210;6;35;19/12/2025
FIJ-BUL-0172140210;6;35;19/12/2025
FIJ-BUL-0171140310;0;;19/01/2026
FIJ-TUE-0237580110;0;;23/01/2026
FIJ-BUL-0102580920;0;;23/01/2026
FIJ-BUL-0102580520;0;;23/01/2026
FIJ-BUL-0102590920;0;;23/01/2026
FIJ-BUL-0102590820;0;;23/01/2026
FIJ-BUL-0102591620;0;;23/01/2026
FIJ-BUL-0102581220;0;;23/01/2026
FIJ-ARA-0302130010;0;;23/01/2026
FIJ-BUL-0101061310;0;;23/01/2026
FIJ-BUL-0151590820;0;;23/01/2026
FIJ-BUL-0128601120;0;;23/01/2026
FIJ-BUL-0128600720;0;;23/01/2026
B&P-040-51310;1291;;19/12/2025
B&P-040-51118;1291;;19/12/2025
B&P-042-22213CW33C3;1291;;19/12/2025
B&P-042-22211-CW33C3;1291;;19/12/2025
BPB-042-22210-CW33C3;1291;;19/12/2025
B&P-047-ECL208-24DG;1053;;19/12/2025
B&P-047-SAB-206-30DG;1054;;19/12/2025
B&P-047-ECL208-24DG;153;1053;19/12/2025
B&P-047-ECL211-35D;1053;;19/12/2025
B&P-047-ACL206-18RG;1053;;19/12/2025
BPB-047-ACL206-20;1053;;19/12/2025
B&P-047-ACL206-30RG;1053;;19/12/2025
B&P-047-ACL206-30RR1;1053;;19/12/2025
B&P-047-ASL-205-25MM;1059;;19/12/2025
B&P-048-CF5202-2RST-;1068;;19/12/2025
B&P-048-SER-51;1071;;19/12/2025
B&P-047-ECL211-35D;162;1053;19/12/2025
BPB-047-ACL206-20;162;1053;19/12/2025
B&P-047-ACL206-30RG;162;1053;19/12/2025
B&P-047-ACL206-30RR1;162;1053;19/12/2025
B&P-047-ASL-205-25MM;162;1059;19/12/2025
B&P-048-CF5202-2RST-;162;1068;19/12/2025
BPB-040-MG-5306-KRR3;1083;;14/01/2026
B&P-035-KT151922;1084;;14/01/2026
B&P-037-35723-TFA051;1084;;14/01/2026
B&P-035-KT101310;1084;;14/01/2026
B&P-035-KT131816;1084;;14/01/2026
B&P-035-KT101415;1084;;14/01/2026
B&P-037-35723-TFA050;1084;;14/01/2026
B&P-DS1-100;1092;;14/01/2026
B&P-DS1-109;1092;;14/01/2026
B&P-DS1-111;1092;;14/01/2026
B&P-DS1-122;1092;;14/01/2026
B&P-DS1-125;1092;;14/01/2026
B&P-DS1-130;1092;;14/01/2026
B&P-DS1-132;1092;;14/01/2026
B&P-DS1-133;1092;;14/01/2026
B&P-DS1-135.1;1092;;14/01/2026
B&P-DS1-135.2;1092;;14/01/2026
B&P-DS1-135.3;1092;;14/01/2026
B&P-DS1-101;1092;;14/01/2026
B&P-DS1-136;1092;;14/01/2026
B&P-DS1-138;1092;;14/01/2026
B&P-DS1-1002;1092;;14/01/2026
