Codigo;Match_Target;Archivo_Auxiliar;Coincidencia;Score;Tipo
1208-TN-C3;1208-TN-C3 - HLBR;R016-01(INSPECCION ROD. DE BOLAS) - Rev 10_Auxiliar.csv;B&P-040-1208-TN-C3-HLBR;1.328;Bolas
1206-TN-C3;1206-TN-C3 - HLBR;R016-01(INSPECCION ROD. DE BOLAS) - Rev 10_Auxiliar.csv;B&P-040-1206-TN-C3-HLBR;1.328;Bolas
22210-CW33C3;22210-CW33C3 - HLBR;R016-01 (INSPECCION ROD. DE RODILLO)_Auxiliar.csv;B&P-042-22210-CW33C3 -HLBR;1.357;Rodillo
1209-TN-C3;1209-TN-C3 - HLBR;R016-01(INSPECCION ROD. DE BOLAS) - Rev 10_Auxiliar.csv;B&P-040-1209-TN-C3-HLBR;1.328;Bolas
22211-CKW33C3;22211-CKW33C3 - HLBR;R016-01 (INSPECCION ROD. DE RODILLO)_Auxiliar.csv;B&P-042-22211-CKW33C3 - HLBR;1.365;Rodillo
22211-CW33C3;22211-CW33C3 - HLBR;R016-01 (INSPECCION ROD. DE RODILLO)_Auxiliar.csv;B&P-042-22211-CW33C3 - HLBR;1.357;Rodillo
22213-CW33C3;22213-CW33C3 - HLBR;R016-01 (INSPECCION ROD. DE RODILLO)_Auxiliar.csv;B&P-042-22213-CW33C3 - HLBR;1.357;Rodillo
51107;51107 - HLBR;R016-01 (INSPECCION DE ESPECIALES)_Auxiliar.csv;B&P-040-51107-HLBR;1.333;Especial
51118;51118 - HLBR;R016-01 (INSPECCION DE ESPECIALES)_Auxiliar.csv;B&P-040-51118-HLBR;1.333;Especial
51205;51205 - HLBR;R016-01 (INSPECCION DE ESPECIALES)_Auxiliar.csv;B&P-040-51205-HLBR;1.333;Especial
51310;51310 - HLBR;R016-01 (INSPECCION DE ESPECIALES)_Auxiliar.csv;B&P-040-51310-HLBR;1.333;Especial
