Emp;NAME;produc;formu;version_formu;desde_fecha;hasta_fecha;produc_compo;compo_nume;canti;uni_medi;fecha_actua;planta
BPB;dlosano;BPB-048-BP-16003;F7;9;03/09/2025;;BPB-027-BP-16003-09;1;1,0000;C/Uno;03/09/2025;1
BPB;dlosano;BPB-048-BP-16003;F7;9;03/09/2025;;B&P-048-204-KYY2;2;1,0000;C/Uno;03/09/2025;1
BPB;dlosano;BPB-048-AG-353040CHS;F7;6;10/06/2021;;BPB-056-ENG353040CHS;1;1,0000;C/Uno;06/04/2016;1
BPB;dlosano;BPB-048-AG-353040CHS;F7;6;10/06/2021;;B&P-048-59190-16;2;1,0000;C/Uno;06/04/2016;1
BPB;dlosano;BPB-133-M040000075;F10;6;21/10/2024;;BPB-044-M041300001;1;21,0000;C/Uno;21/10/2024;1
BPB;dlosano;BPB-133-M040000075;F10;6;21/10/2024;;B&P-033-CA-550-A1;2;11,0000;C/Uno;21/10/2024;1
BPB;dlosano;BPB-133-M040000075;F10;6;21/10/2024;;B&P-033-CA550-A1-CL;3;2,0000;C/Uno;21/10/2024;1
BPB;dlosano;BPB-133-M040000075;F10;6;21/10/2024;;B&P-037-M04132;4;42,0000;C/Uno;21/10/2024;1
BPB;dlosano;BPB-133-M040000075;F10;6;21/10/2024;;BPB-037-TO8x20-CT;5;42,0000;C/Uno;21/10/2024;1
BPB;dlosano;BPB-133-M040000077;F10;5;08/11/2022;;BPB-033-CA-550-A1;1;4,2000;MTS;17/10/2018;1
BPB;dlosano;BPB-133-M040000077;F10;5;08/11/2022;;BPB-037-UPN40x20;2;6,0000;MTS;17/10/2018;1
BPB;dlosano;BPB-133-M040000077;F10;5;08/11/2022;;BPB-033-CA550-A1-OL;3;2,0000;C/Uno;17/10/2018;1
BPB;dlosano;BPB-133-M040000077;F10;5;08/11/2022;;BPB-033-CA550-A1-CL;4;2,0000;FT;17/10/2018;1
BPB;dlosano;B&P-058-HM-518445-41;F7;5;26/03/2025;;000-053-HM-518445;1;1,0000;C/Uno;26/03/2025;1
BPB;dlosano;B&P-058-HM-518445-41;F7;5;26/03/2025;;000-054-TCY-8410;2;1,0000;C/Uno;26/03/2025;1
B&P;vbuffaz;PEE-048-BB203KRR2FD;F1;5;29/10/2007;;ESG-001-BB-203-R;1;1,0000;C/Uno;29/10/2007;1
B&P;vbuffaz;PEE-048-BB203KRR2FD;F1;5;29/10/2007;;ESG-002-BB-203-R;2;1,0000;C/Uno;29/10/2007;1
B&P;vbuffaz;PEE-048-BB203KRR2FD;F1;5;29/10/2007;;ESG-003-17/64;3;8,0000;C/Uno;29/10/2007;1
B&P;vbuffaz;PEE-048-BB203KRR2FD;F1;5;29/10/2007;;ESG-004-BB203KRR2FD;4;2,0000;C/Uno;29/10/2007;1
B&P;vbuffaz;PEE-048-BB203KRR2FD;F1;5;29/10/2007;;ESG-005-BB203KRR2FD;5;1,0000;C/Uno;29/10/2007;1
B&P;vbuffaz;PEE-048-BB203KRR2FD;F1;5;29/10/2007;;000-006-MOBILGREASE;6;1,6900;GRS;29/10/2007;1
B&P;vbuffaz;PEE-048-BB203KRR2FD;F1;5;29/10/2007;;002-002-001;7;0,1133;C/Uno;29/10/2007;1
BPB;dlosano;BPB-037-BP-17010;F7;4;12/03/2020;;BPB-044-BP-17010-01Z;1;1,0000;C/Uno;30/05/2018;1
BPB;dlosano;BPB-037-BP-17010;F7;4;12/03/2020;;BPB-044-BP-17010-02Z;2;1,0000;C/Uno;30/05/2018;1
BPB;dlosano;BPB-037-BP-17010;F7;4;12/03/2020;;BPB-044-BP17010-05;5;1,0000;C/Uno;30/05/2018;1
BPB;dlosano;BPB-037-BP-17010;F7;4;12/03/2020;;BPB-037-DIN-471.28;3;1,0000;C/Uno;30/05/2018;1
BPB;dlosano;BPB-037-BP-17010;F7;4;12/03/2020;;BPB-003-BALL-1/4;4;3,0000;C/Uno;30/05/2018;1
BPB;amoreira;B&P-ALU-EX150-5;F7;4;07/04/2020;;B&P-ALU-DISI-EX150;1;1,0000;C/Uno;07/04/2020;1
BPB;amoreira;B&P-ALU-EX150-5;F7;4;07/04/2020;;B&P-PCB-PCBEX155;2;1,0000;C/Uno;07/04/2020;1
BPB;amoreira;B&P-ALU-EX150-5;F7;4;07/04/2020;;B&P-ALU-EX150-LENS;3;1,0000;C/Uno;07/04/2020;1
BPB;amoreira;B&P-ALU-EX150-5;F7;4;07/04/2020;;B&P-FAL-12Vdc-24Vdc;4;1,0000;C/Uno;07/04/2020;1
BPB;dlosano;B&P-047-ECL-211-55DG;SG;4;26/04/2022;;B&P-002-ECL211-55-02;1;1,0000;C/Uno;26/04/2022;1
BPB;dlosano;B&P-047-ECL-211-55DG;SG;4;26/04/2022;;B&P-001-OR211-G;2;1,0000;C/Uno;26/04/2022;1
BPB;dlosano;B&P-047-ECL-211-55DG;SG;4;26/04/2022;;B&P-004-211-DBL-08;3;2,0000;C/Uno;26/04/2022;1
BPB;dlosano;B&P-047-ECL-211-55DG;SG;4;26/04/2022;;B&P-005-CAGE211-17;4;1,0000;C/Uno;26/04/2022;1
BPB;dlosano;B&P-047-ECL-211-55DG;SG;4;26/04/2022;;B&P-003-BALL-9/16;5;10,0000;C/Uno;26/04/2022;1
BPB;dlosano;B&P-047-ECL-211-55DG;SG;4;26/04/2022;;B&P-010-LOC211-55;6;1,0000;C/Uno;26/04/2022;1
B&P;vbuffaz;PEE-HS--6203-ZZ-C3;F2;4;27/04/2009;;PEE-HS--6203-D-C3;1;1,0000;C/Uno;27/04/2009;1
B&P;vbuffaz;PEE-HS--6203-ZZ-C3;F2;4;27/04/2009;;000-004-ZZ-6203;2;2,0000;C/Uno;27/04/2009;1
B&P;vbuffaz;PEE-HS--6203-ZZ-C3;F2;4;27/04/2009;;000-006-001;3;0,8000;GRS;27/04/2009;1
B&P;vbuffaz;PEE-HS--6203-ZZ-C3;F2;4;27/04/2009;;002-002-001;4;0,0040;C/Uno;27/04/2009;1
B&P;vbuffaz;PEE-S---6204-2RSC3-M;F2;4;01/11/2006;;PEE-S---6204-D-C3-M;1;1,0000;C/Uno;01/11/2006;1
B&P;vbuffaz;PEE-S---6204-2RSC3-M;F2;4;01/11/2006;;MID-004-RLD-6204-RED;2;2,0000;C/Uno;01/11/2006;1
B&P;vbuffaz;PEE-S---6204-2RSC3-M;F2;4;01/11/2006;;000-006-001;3;1,4000;GRS;01/11/2006;1
B&P;vbuffaz;PEE-S---6204-2RSC3-M;F2;4;01/11/2006;;002-002-001;4;0,0040;C/Uno;01/11/2006;1
B&P;dlosano;BPB-048-J91-R;F3;4;25/11/2011;;RET-048-J91-R;1;1,0000;C/Uno;25/11/2011;1
B&P;dlosano;BPB-048-J91-R;F3;4;25/11/2011;;RET-027-J91-R.08;2;1,0000;C/Uno;25/11/2011;1
B&P;dlosano;BPB-048-J91-R;F3;4;25/11/2011;;000-006-ALVANIA-RL3;3;2,0000;GRS;25/11/2011;1
B&P;dlosano;B&P-ALU-MW-120XPE;F7;4;09/12/2014;;B&P-ALU-Disi-120XPE;1;1,0000;C/Uno;09/12/2014;1
