Empresa;Comp;Numero;Fecha;Producto;Cantidad;Deposito;Ubicacion;Observ;Proveedor;Usuario;OC;CodOC
B&P;IDESP;1683;26/11/2025;FIJ-TUE-0233070210;5000;03;X-00-00-00;;BESTECH INDUSTRIES LTD;mconde;30;OCBET
B&P;IDESP;1684;19/12/2025;FIJ-BUL-0171140210;40000;03;X-00-00-00;PO#35 BET;BESTECH INDUSTRIES LTD;mconde;6;OCREP
B&P;IDESP;1684;19/12/2025;FIJ-BUL-0172140210;40000;03;X-00-00-00;PO#35 BET;BESTECH INDUSTRIES LTD;mconde;6;OCREP
BPB;IDESP;7063;18/11/2025;B&P-001-MS02-D;25000;03;X-00-00-00;;MIDLAND INDUSTRIES HK LIMITED;mconde;1231;OCOMI
BPB;IDESP;7063;18/11/2025;B&P-002-MS02-D;25000;03;X-00-00-00;;MIDLAND INDUSTRIES HK LIMITED;mconde;1231;OCOMI
BPB;IDESP;7063;18/11/2025;B&P-005-RET/SET-MS02;25000;03;X-00-00-00;;MIDLAND INDUSTRIES HK LIMITED;mconde;1231;OCOMI
BPB;IDESP;7063;18/11/2025;B&P-003-BALL-15/64;200000;03;X-00-00-00;;MIDLAND INDUSTRIES HK LIMITED;mconde;1231;OCOMI
BPB;IDESP;7063;18/11/2025;B&P-004-MS02RLD-BLUE;50000;03;X-00-00-00;;MIDLAND INDUSTRIES HK LIMITED;mconde;1231;OCOMI
BPB;IDESP;7063;18/11/2025;B&P-001-MS04-D;25000;03;X-00-00-00;;MIDLAND INDUSTRIES HK LIMITED;mconde;1231;OCOMI
BPB;IDESP;7063;18/11/2025;B&P-002-MS04-D;25000;03;X-00-00-00;;MIDLAND INDUSTRIES HK LIMITED;mconde;1231;OCOMI
BPB;IDESP;7063;18/11/2025;B&P-005-RET/SET-MS04;25000;03;X-00-00-00;;MIDLAND INDUSTRIES HK LIMITED;mconde;1231;OCOMI
BPB;IDESP;7063;18/11/2025;B&P-003-BALL-5/16;200000;03;X-00-00-00;;MIDLAND INDUSTRIES HK LIMITED;mconde;1231;OCOMI
BPB;IDESP;7063;18/11/2025;B&P-004-MS04RLD-BLUE;50000;03;X-00-00-00;;MIDLAND INDUSTRIES HK LIMITED;mconde;1231;OCOMI
BPB;IDESP;7063;18/11/2025;B&P-001-LS01-D;2500;03;X-00-00-00;;MIDLAND INDUSTRIES HK LIMITED;mconde;1231;OCOMI
BPB;IDESP;7063;18/11/2025;B&P-002-LS01-D;2500;03;X-00-00-00;;MIDLAND INDUSTRIES HK LIMITED;mconde;1231;OCOMI
BPB;IDESP;7063;18/11/2025;B&P-005-RET/SET-LS01;2500;03;X-00-00-00;;MIDLAND INDUSTRIES HK LIMITED;mconde;1231;OCOMI
BPB;IDESP;7063;18/11/2025;B&P-003-BALL-3/16;20000;03;X-00-00-00;;MIDLAND INDUSTRIES HK LIMITED;mconde;1231;OCOMI
BPB;IDESP;7063;18/11/2025;B&P-004-LS01RLD-BLUE;5000;03;X-00-00-00;;MIDLAND INDUSTRIES HK LIMITED;mconde;1231;OCOMI
BPB;IDESP;7063;18/11/2025;B&P-001-LS02-D;2500;03;X-00-00-00;;MIDLAND INDUSTRIES HK LIMITED;mconde;1231;OCOMI
BPB;IDESP;7063;18/11/2025;B&P-002-LS02-D;2500;03;X-00-00-00;;MIDLAND INDUSTRIES HK LIMITED;mconde;1231;OCOMI
BPB;IDESP;7063;18/11/2025;B&P-005-RET/SET-LS02;2500;03;X-00-00-00;;MIDLAND INDUSTRIES HK LIMITED;mconde;1231;OCOMI
BPB;IDESP;7063;18/11/2025;B&P-003-BALL-3/16;22500;03;X-00-00-00;;MIDLAND INDUSTRIES HK LIMITED;mconde;1231;OCOMI
BPB;IDESP;7063;18/11/2025;B&P-004-LS02RLD-BLUE;5000;03;X-00-00-00;;MIDLAND INDUSTRIES HK LIMITED;mconde;1231;OCOMI
BPB;IDESP;7063;18/11/2025;B&P-001-LS03-D;2500;03;X-00-00-00;;MIDLAND INDUSTRIES HK LIMITED;mconde;1231;OCOMI
BPB;IDESP;7063;18/11/2025;B&P-002-LS03-D;2500;03;X-00-00-00;;MIDLAND INDUSTRIES HK LIMITED;mconde;1231;OCOMI
BPB;IDESP;7063;18/11/2025;B&P-005-RET/SET-LS03;2500;03;X-00-00-00;;MIDLAND INDUSTRIES HK LIMITED;mconde;1231;OCOMI
BPB;IDESP;7063;18/11/2025;B&P-003-BALL-3/16;25000;03;X-00-00-00;;MIDLAND INDUSTRIES HK LIMITED;mconde;1231;OCOMI
BPB;IDESP;7063;18/11/2025;B&P-004-LS03RLD-BLUE;5000;03;X-00-00-00;;MIDLAND INDUSTRIES HK LIMITED;mconde;1231;OCOMI
BPB;IDESP;7063;18/11/2025;B&P-001-LS04-D;2500;03;X-00-00-00;;MIDLAND INDUSTRIES HK LIMITED;mconde;1231;OCOMI
BPB;IDESP;7063;18/11/2025;B&P-002-LS04-D;2500;03;X-00-00-00;;MIDLAND INDUSTRIES HK LIMITED;mconde;1231;OCOMI
BPB;IDESP;7063;18/11/2025;B&P-005-RET/SET-LS04;2500;03;X-00-00-00;;MIDLAND INDUSTRIES HK LIMITED;mconde;1231;OCOMI
BPB;IDESP;7063;18/11/2025;BPB-003-BALL-1/4;22500;03;X-00-00-00;;MIDLAND INDUSTRIES HK LIMITED;mconde;1231;OCOMI
BPB;IDESP;7063;18/11/2025;B&P-004-LS04RLD-BLUE;5000;03;X-00-00-00;;MIDLAND INDUSTRIES HK LIMITED;mconde;1231;OCOMI
BPB;IDESP;7063;18/11/2025;B&P-001-MS00-D;2500;03;X-00-00-00;;MIDLAND INDUSTRIES HK LIMITED;mconde;1231;OCOMI
BPB;IDESP;7063;18/11/2025;B&P-002-MS00-D;2500;03;X-00-00-00;;MIDLAND INDUSTRIES HK LIMITED;mconde;1231;OCOMI
BPB;IDESP;7063;18/11/2025;B&P-005-RET/SET-MS00;2500;03;X-00-00-00;;MIDLAND INDUSTRIES HK LIMITED;mconde;1231;OCOMI
BPB;IDESP;7063;18/11/2025;B&P-003-BALL-15/64;17500;03;X-00-00-00;;MIDLAND INDUSTRIES HK LIMITED;mconde;1231;OCOMI
BPB;IDESP;7063;18/11/2025;B&P-004-MS00RLD-BLUE;5000;03;X-00-00-00;;MIDLAND INDUSTRIES HK LIMITED;mconde;1231;OCOMI
BPB;IDESP;7063;18/11/2025;B&P-001-MS03-D;25000;03;X-00-00-00;PO#890 BET;MIDLAND INDUSTRIES HK LIMITED;mconde;120;OCREP
BPB;IDESP;7063;18/11/2025;BPB-035-HK-3038;150;03;X-00-00-00;PO#915 BET;MIDLAND INDUSTRIES HK LIMITED;mconde;120;OCREP
BPB;IDESP;7063;18/11/2025;B&P-047-HA-207;100;03;X-00-00-00;PO#910 BET;MIDLAND INDUSTRIES HK LIMITED;mconde;120;OCREP
BPB;IDESP;7063;18/11/2025;B&P-047-HA-209;100;03;X-00-00-00;PO#910 BET;MIDLAND INDUSTRIES HK LIMITED;mconde;120;OCREP
BPB;IDESP;7063;18/11/2025;B&P-047-T-210;100;03;X-00-00-00;PO#910 BET;MIDLAND INDUSTRIES HK LIMITED;mconde;120;OCREP
BPB;IDESP;7063;18/11/2025;B&P-047-T-208;100;03;X-00-00-00;PO#910 BET;MIDLAND INDUSTRIES HK LIMITED;mconde;120;OCREP
BPB;IDESP;7063;18/11/2025;B&P-002-MS03-D;25000;03;X-00-00-00;PO#890 BET;MIDLAND INDUSTRIES HK LIMITED;mconde;120;OCREP
BPB;IDESP;7063;18/11/2025;BPB-047-T-212;50;03;X-00-00-00;PO#910 BET;MIDLAND INDUSTRIES HK LIMITED;mconde;120;OCREP
BPB;IDESP;7063;18/11/2025;B&P-005-RET/SET-MS03;25000;03;X-00-00-00;PO#890 BET;MIDLAND INDUSTRIES HK LIMITED;mconde;120;OCREP
BPB;IDESP;7063;18/11/2025;B&P-003-BALL-17/64;200000;03;X-00-00-00;PO#890 BET;MIDLAND INDUSTRIES HK LIMITED;mconde;120;OCREP
BPB;IDESP;7063;18/11/2025;B&P-004-MS03RLD-BLUE;50000;03;X-00-00-00;PO#890 BET;MIDLAND INDUSTRIES HK LIMITED;mconde;120;OCREP
BPB;IDESP;7063;18/11/2025;B&P-035-NK-2520;500;03;X-00-00-00;PO#915 BET;MIDLAND INDUSTRIES HK LIMITED;mconde;120;OCREP
BPB;IDESP;7063;18/11/2025;BPB-035-NK-3230;100;03;X-00-00-00;PO#915 BET;MIDLAND INDUSTRIES HK LIMITED;mconde;120;OCREP
BPB;IDESP;7063;18/11/2025;BPB-035-NKI-2020;100;03;X-00-00-00;PO#915 BET;MIDLAND INDUSTRIES HK LIMITED;mconde;120;OCREP
