Codigo;PO;Observac_PO;Columna_D
FIJ-BUL-0171140210;6;35;19/12/2025
FIJ-BUL-0172140210;6;35;19/12/2025
B&P-040-51310;1291;;19/12/2025
B&P-040-51118;1291;;19/12/2025
B&P-042-22213CW33C3;1291;;19/12/2025
B&P-042-22211-CW33C3;1291;;19/12/2025
BPB-042-22210-CW33C3;1291;;19/12/2025
B&P-047-ECL208-24DG;1053;;19/12/2025
B&P-047-SAB-206-30DG;1054;;19/12/2025
B&P-047-ECL208-24DG;153;1053;19/12/2025
B&P-047-ECL211-35D;1053;;19/12/2025
B&P-047-ACL206-18RG;1053;;19/12/2025
BPB-047-ACL206-20;1053;;19/12/2025
B&P-047-ACL206-30RG;1053;;19/12/2025
B&P-047-ACL206-30RR1;1053;;19/12/2025
B&P-047-ASL-205-25MM;1059;;19/12/2025
B&P-048-CF5202-2RST-;1068;;19/12/2025
B&P-048-SER-51;1071;;19/12/2025
B&P-047-ECL211-35D;162;1053;19/12/2025
BPB-047-ACL206-20;162;1053;19/12/2025
B&P-047-ACL206-30RG;162;1053;19/12/2025
B&P-047-ACL206-30RR1;162;1053;19/12/2025
B&P-047-ASL-205-25MM;162;1059;19/12/2025
B&P-048-CF5202-2RST-;162;1068;19/12/2025
BPB-056-ENG307516CHS;0;;19/12/2025
BPB-056-DS3075C25CHS;0;;19/12/2025
