Elegido;264;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30
Numero;Codigo;C;C+;C-;D;D+;D-;B;B+;B-;d;d+;d-;GR;GR+;GR-;A;A+;A-;ARO INT+;ARO INT -;ARO EXT +;ARO EXT -;TORQUE DE SELLOS +;TORQUE DE SELLOS -;PORCENTAJE DE GRASA;TIPO DE GRASA;Fecha Rev. Plano;Rev.
3;59190;21.78;0;-120;47;0;-13;24.98;0;-120;20;0;-10;AXIAL C3;16;34;NO;NO;NO;64;58;64;58;12cNm / 0,120Nm;8cNm / 0,08Nm;60%- 80%;polyrex;2018-12-20 00:00:00;D
4;59196;22.8;0;-120;45.225;0;-13;26;0;-120;16;30;0;AXIAL C0;25;7;NO;NO;NO;64;58;64;58;0,127Nm;0,102Nm;3,8-4,59;Polyrex;2016-02-02 00:00:00;B
5;203KRR12;20;0;-120;44.5;0;-11;13;20;-20;7;0;-8;RADIAL (C3);11;25;NO;NO;NO;64;58;64;58;……………………….;……………………….;1,16 - 1,74;Polyrex;……………….;……….
6;BPB-048-203-KRR3 - HNHL;15;0;-120;50.8;0;-15;15;0;-120;15.951;0;-12;C3;25;10;NO;NO;NO;64;58;64;58;standard;standard;1,2 - 1,8;standard;2018-07-27 00:00:00;0
7;B&P-048-203-KRR3-E2 - CMI;15;0;-120;50.8;0;-13;15;0;-120;15.95;0;-8;C3;25;11;NO;NO;NO;64;58;64;58;0.09;0.055;1,2 - 1,8;polyrex;2022-05-16 00:00:00;G
8;204-JY3;15.494;0;-120;45.225;0;-13;18.699;0;-120;16.053;0;-60;RADIAL;52;36;NO;NO;NO;64;58;64;58;16cNm / 0,16Nm;10cNm / 0,1Nm;60%-80%;polyrex;2014-12-03 00:00:00;B
9;204-JY5;15.494;0;-120;45.225;0;-13;18.699;0;-120;20;0;-60;RADIAL;52;36;NO;NO;NO;64;58;64;58;16cNm / 0,16Nm;10cNm / 0,1Nm;60%-80%;Polyrex;2016-04-01 00:00:00;0
10;204-JZ6;15.494;0;-120;45.225;0;-13;19.694;0;-120;16.053;0;-60;;36;46;;;;64 HRC;58 HRC;64 HRC;58 HRC;……………………….;……………………….;;;……………….;……….
11;204-K2;NO;NO;NO;NO;NO;NO;20.955;0;-120;NO;NO;NO;NO;NO;NO;17.463;127;0;64;58;NO;NO;NO;NO;NO;NO;2016-04-26 00:00:00;0
