Elegido;356;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;;;;;;;;
Numero;Codigo;C;C+;C-;D;D+;D-;B;B+;B-;d;d+;d-;GA/GR;GR/GA-;GR/GA+;ARO INT+;ARO INT -;ARO EXT +;ARO EXT -;PORCENTAJE DE GRASA;TIPO DE GRASA;TORQUE DE SELLOS +;TORQUE DE SELLOS -;Fecha Rev. Plano;Rev.;Tipo de prisionero;;;;;;;;
1;207-01;19;0;-120;72;0;-13;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;NO;…………….;…………….;2011-05-06 00:00:00;0;-;;;;DIMENSION NOMINAL;;;;
2;209-01;22;0;-120;85;0;-15;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;NO;…………….;…………….;………………;……….;-;;;;TOLERANCIA;;;;
3;ACL205-16-01;15;0;-120;52;0;-13;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;NO;NO;NO;2011-05-11 00:00:00;0;-;;;;;;;;
4;ACL205-16-02;NO;NO;NO;NO;NO;NO;21.5;0;-120;25.4;18;0;NO;NO;NO;64;58;NO;NO;NO;NO;NO;NO;2011-04-29 00:00:00;0;-;;;;;;;;
5;ACL-205-16RG-ZJXY;15;0;-120;52;0;-13;21.5;0;-120;25.4;18;0;C0;5;20;64;58;64;58;2,85 - 3.4;Polyrex;0.091;0.056;2018-10-24 00:00:00;A;-;;;;;;;;
6;ACL205-25;15;0;-120;52;0;-13;21.5;0;-120;25;18;0;C0/Radial;20;5;64;58;64;58;2,5-3;Polyrex;9,1cNm / 0,091Nm;5,6cNm / 0,056Nm;………………;……….;-;;;;;;;;
7;ACL205-25-02;NO;NO;NO;NO;NO;NO;21.5;0;-120;25;18;0;NO;NO;NO;64;58;NO;NO;NO;NO;NO;NO;2011-04-29 00:00:00;0;-;;;;;;;;
8;ACL-206-19RG;18;0;-120;62;0;-15;23.82;0;-120;30.16;20;0;C0;5;20;58;62;58;62;50% -60%;Polyrex;;;………………;……….;-;;;;;;;;
9;ACL206-20-02;NO;NO;NO;NO;NO;NO;23.82;0;-120;31.75;18;0;NO;NO;NO;64;58;NO;NO;NO;NO;NO;NO;………………;……….;-;;;;;;;;
10;ACL206-20-C0;18;0;-120;62;0;-15;23.82;0;-120;31.75;18;0;C0;6;20;64;58;64;58;4,6 - 5,5;Polyrex;9,2cNm / 0,092Nm;6cNm / 0,06Nm;………………;……….;-;;;;;;;;
11;ACL206-30;18;0;-120;62;0;-15;23.82;0;-120;30;18;0;Radial/C0;20;5;64;58;64;58;4,85 - 6,47;Polyrex;9,1cNm / 0,091Nm;5,6cNm / 0,056Nm;2014-03-05 00:00:00;0;-;;;;;;;;
12;B&P-047-ACL206-30RR1 - ZJXY;18;0;-120;62;0;-13;23.82;0;-120;30;18;0;C0;6;20;64;58;64;58;4.6 - 5.5;Polyrex;0.091;0.056;2017-09-15 00:00:00;B;-;;;;;;;;
13;ACL207-22-01;19;0;-120;72;0;-15;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;NO;NO;NO;………………;……….;-;;;;;;;;
14;ACL207-22-02;NO;NO;NO;NO;NO;NO;25.4;0;-120;34.925;21;0;NO;NO;NO;64;58;NO;NO;NO;NO;NO;NO;………………;……….;-;;;;;;;;
15;ACL-207-23;19;0;-120;72;0;-15;25.4;0;-120;36.51;21;0;C0;22;10;64;58;64;58;5,4 - 6,4;Polyrex;0.091;0.056;………………;……….;-;;;;;;;;
16;ACL207-23-02;NO;NO;NO;NO;NO;NO;25.4;0;-120;36.512;21;0;NO;NO;NO;64;58;NO;NO;NO;NO;NO;NO;………………;……….;-;;;;;;;;
