Elegido;447;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32
Numero;Codigo;d;d+;d-;B;B+;B-;T;T+;T-;D;D+;D-;C;C+;C-;HRC CUB+;HRC CUB-;HRC CONO+;HRC CONO-;PERFIL CUB;PERFIL CONO;PERFIL ROD.;RUG.PISTA CONO;RUG. RESPALDO CONO;RUG. PISTA CUBETA;Fecha Rev. Plano;Rev.;GA ;GA+;GA-
1;572;NO;NO;NO;NO;NO;NO;NO;NO;NO;139.992;25;0;28.575;0;-150;;;;;;;;;;;………………..;……..;;;
2;580;82.55;0;-20;36.098;0;-200;NO;NO;NO;NO;NO;NO;NO;NO;NO;;;;;;;;;;;………………..;……..;;;
3;15123;31.75;;;19.05;;;NO;NO;NO;NO;NO;NO;NO;NO;NO;;;;;;;;;;;………………..;……..;;;
4;15245;NO;NO;NO;NO;NO;NO;NO;NO;NO;62;0;-16;14.288;0;-120;;;;;;;;;;;………………..;……..;;;
5;25521;NO;NO;NO;NO;NO;NO;NO;NO;NO;83.05;0;-18;19.05;0;-200;;;;;;;;;;;………………..;……..;;;
6;29620;NO;NO;NO;NO;NO;NO;NO;NO;NO;112.712;0;-18;19.05;0;-150;;;;;;;;;;;………………..;……..;;;
7;29685;73.025;0;-15;25.4;0;-150;NO;NO;NO;NO;NO;NO;NO;NO;NO;;;;;;;;;;;………………..;……..;;;
8;29685;73.025;13;0;25.4;0;-150;NO;NO;NO;110;0;-18;24;0;-150;;;;;;;;;;;………………..;……..;;;
9;30206;30;0;-12;16;0;-120;17.25;200;0;62;0;-16;14;0;-120;;;;;;;;;;;………………..;……..;;;
10;30209;45;0;-12;19;0;-120;20.75;200;0;85;0;-18;16;0;-120;64;58;64;58;CONVEX;CONVEX;CONVEX;NO;NO;NO;2010-06-03 00:00:00;0;;;
11;30211;55;0;-15;21;0;-150;22.75;200;0;100;0;-18;18;0;-150;62;58;62;58;CONVEX;CONVEX;CONVEX;NO;NO;NO;2010-09-08 00:00:00;0;;;
12;30213;65;0;-15;23;0;-150;24.75;200;0;120;0;-18;20;0;-150;;;;;;;;;;;………………..;……..;;;
13;30214;70;0;-15;24;0;-150;26.25;200;0;125;0;-20;21;0;-150;;;;;;;;;;;………………..;……..;;;
14;31308;40;0;-12;23;0;-150;25.25;200;0;90;0;-16;17;0;-120;64;58;64;58;CONVEX;CONVEX;CONVEX;NO;NO;NO;2018-05-02 00:00:00;catalogo;;;
15;31520;NO;NO;NO;NO;NO;NO;NO;NO;NO;76.2;0;-16;23.812;0;-120;;;;;;;;;;;………………..;……..;;;
16;31594;34.925;0;-12;28.575;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;;;;;;;;;;;………………..;……..;;;
17;32011;55;0;-15;23;0;-150;23;200;0;90;0;-18;17.5;0;-150;;;;;;;;;;;………………..;……..;;;
18;32210;50;0;-12;23;0;-120;24.75;200;0;90;0;-14;19;0;-120;;;;;;;;;;;………………..;……..;;;
19;32212;60;0;-15;28;0;-150;29.75;200;0;110;0;-18;24;0;-150;;;;;;;;;;;………………..;……..;;;
20;32214;70;0;-15;31;0;-150;33.25;200;0;125;0;-20;27;0;-150;;;;;;;;;;;………………..;……..;;;
21;33010;50;0;-12;24;0;-120;24;200;0;80;0;-16;19;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;………………..;……..;;;
22;B&P-053-X-33110-DEFA;50;0;-17;26;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;CONVEX;NO;NO;NO;NO;2018-09-19 00:00:00;0;;;
23;33112;60;0;-15;30;0;-150;30;200;0;100;0;-18;23;0;-150;;;;;;;;;;;………………..;……..;;;
24;B&P-053-X-33117 - ZANG;85;0;-20;41;0;-200;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;CONVEX;CONVEX;NO;NO;NO;2017-08-28 00:00:00;0;;;
25;010-DTR2047;NO;NO;NO;NO;NO;NO;NO;NO;NO;47;0;-14;35;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;2017-10-24 00:00:00;0;;;
26;B&P-053-TCX-1845 - ZANG;88.9;25;0;39.688;76;-254;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;CONVEX;NO;NO;NO;NO;2016-11-18 00:00:00;B;;;
27;053-TCX207;35;0;-12;17;0;-100;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;CONVEX;CONVEX;NO;NO;NO;2016-08-23 00:00:00;A;;;
28;053-TCX207;35;0;-12;17;0;-100;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;CONVEX;CONVEX;NO;NO;NO;2016-08-23 00:00:00;A;;;
29;053-TCX210;50;0;-12;20;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;CONVEX;CONVEX;NO;NO;NO;2016-11-07 00:00:00;C;;;
30;053-TCX210;50;0;-12;20;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;CONVEX;CONVEX;NO;NO;NO;2015-03-05 00:00:00;0;;;
31;053-TCX210;50;0;-12;20;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;CONVEX;CONVEX;NO;NO;NO;2015-03-05 00:00:00;0;;;
32;B&P-054-TDY211 - DEFA;NO;NO;NO;NO;NO;NO;NO;NO;NO;100;0;-150;21;0;-120;64;58;NO;NO;CONVEX;NO;NO;NO;NO;NO;2018-09-19 00:00:00;0;;;
33;053-TCX213;65;0;-15;23;0;-150;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;CONVEX;CONVEX;NO;NO;NO;2016-12-14 00:00:00;A;;;
34;053-TDX010;50;0;-12;20;0;-100;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;CONVEX;NO;NO;NO;NO;2012-09-04 00:00:00;0;;;
35;053-TDX213;65;0;-15;31;0;-150;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;CONVEX;NO;NO;NO;NO;2016-12-13 00:00:00;A;;;
36;053-TDX217;85;0;-20;36;0;-200;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;CONVEX;CONVEX;NO;NO;NO;2016-08-08 00:00:00;0;;;
