Elegido;60;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;;;;
Numero;Codigo;C;C+;C-;B;B+;B-;D;D+;D-;d;d+;d-;GR;GR+;GR-;ARO INT+;ARO INT -;ARO EXT +;ARO EXT -;Cage type;Fecha Rev. Plano;Rev.;;;;
1;36;27;0;-120;27;0;-120;110;0;-15;50;0;-12;C3;75;55;64;58;64;58;Bronce/Brass;………….;………;;;;
2;21310-MBW33C;27;0;-120;27;0;-120;110;0;-18;50;0;-12;;;;;;;;;………….;………;;;;
3;22207-CW33C3;23;0;-120;23;0;-120;72;0;-13;35;0;-12;C3;45;60;64;58;64;58;Acero/Steel ;2015-07-16 00:00:00;0;;;;
4;22209CW33C3;23;0;-120;23;0;-120;85;0;-15;45;0;-12;C3;80;60;64;58;64;58;Acero/Steel ;………….;………;;;;
5;22211CKW33C3;25;0;-150;25;0;-150;100;0;-15;55;46;0;C3;95;75;64;58;64;58;Acero/Steel ;………….;………;;;;
6;22211CW33C3;25;0;-150;25;0;-150;100;0;-15;55;0;-15;C3;90;65;64;58;64;58;Acero/Steel ;………….;………;;;;
7;22213CKW33 ;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;;………….;………;;;;
8;22213-CW33C3;31;0;-150;31;0;-150;120;0;-15;65;0;-15;C3;90;65;64;58;64;58;Acero/Steel ;………….;………;;;;
9;BPB-042-22214-CW33C3 - HLBR;31;0;-150;31;0;-150;125;0;-18;70;0;-15;RADIAL;110;80;64;58;64;58;Acero/Steel ;2018-03-16 00:00:00;A;;;;
10;22214-MBW33C;31;0;-150;31;0;-150;125;0;-18;70;0;-15;C0;20;32;;;;;;2014-12-19 00:00:00;A;;;;
11;BPB-042-22215-CW33C3 - HLBR;31;0;-150;31;0;-150;130;0;-18;75;0;-15;RADIAL ;110;80;64;58;64;58;Acero/Steel ;2016-01-22 00:00:00;A;;;;
12;22216-C3W33;33;0;-150;33;0;-150;140;0;-18;80;0;-15;RADIAL ;110;80;64;58;64;58;Acero/Steel ;………….;………;;;;
13;22218C3W33;40;0;-200;40;0;-200;160;0;-25;90;0;-20;RADIAL;135;100;64;58;64;58;Acero/Steel ;2016-04-07 00:00:00;0;;;;
14;22218KC3W33;40;0;-200;40;0;-200;160;0;-25;90;54;0;C3;140;110;64;58;64;58;Acero/Steel ;2013-05-03 00:00:00;0;;;;
15;22309-CW33C3;36;0;-127;36;0;-127;100;0;-15;45;0;-13;C3;;;;;;;;………….;………;;;;
16;22311-CW33C3;43;0;-120;43;0;-120;120;0;-15;55;0;-15;C3;;;;;;;;………….;………;;;;
17;NJG2250;17;0;-120;27.37;0;-120;50;0;-13;22.205;0;-13;Axial;2000;0;64;58;64;58;NO;………….;………;;;;
18;NJG2860;19;0;-120;28;0;-120;60;0;-13;28.555;0;-13;Axial;2000;0;64;58;64;58;NO;………….;………;;;;
19;BPB-035-NUP-206 - CWN;16;0;-120;16;0;-120;62;0;-13;30;0;-10;RADIAL C0;45;20;64;58;64;58;C1010;2018-03-15 00:00:00;A;;;;
20;22218-CW33C3;40;0;-200;40;0;-200;160;0;-25;90;0;-20;Radial;135;110;64;58;64;58;Acero/Steel ;2017-02-06 00:00:00;A;;;;
21;BPB-042-22205-CW33C3 - HLBR;18;0;-120;18;0;-120;52;0;-13;25;0;-10;C3;55;40;64;58;64;58;Acero/Steel ;2018-03-21 00:00:00;0;;;;
22;BPB-042-22205CKW33C3 - HLBR;18;0;-120;18;0;-120;52;0;-13;25;0;-10;C3;55;40;64;58;64;58;Acero/Steel ;2018-04-21 00:00:00;0;;;;
23;BPB-042-22206-CW33C3 - HLBR;20;0;-120;20;0;-120;62;0;-13;30;0;-10;C3;55;40;64;58;64;58;Acero/Steel ;2018-03-21 00:00:00;0;;;;
24;BPB-042-22206-CKW33C3 - HLBR;20;0;-120;20;0;-120;62;0;-13;30;33;0;C3;55;40;64;58;64;58;Acero/Steel ;2024-10-16 00:00:00;A;;;;
25;BPB-042-22207-CW33C3 - HLBR;23;0;-120;23;0;-120;72;0;-13;35;0;-12;C3;60;45;64;58;64;58;Acero/Steel ;2018-04-16 00:00:00;A;;;;
26;BPB-042-22207-CKW33C3 - HLBR;23;0;-120;23;0;-120;72;0;-13;35;39;0;C3;65;50;64;58;64;58;Acero/Steel ;2024-10-16 00:00:00;A;;;;
27;B&P-042-22208-CKW33C3 - HLBR;23;0;-120;23;0;-120;80;0;-13;40;39;0;C3;65;50;64;58;64;58;Acero/Steel ;2023-08-03 00:00:00;B;;;;
28;B&P-042-22209-CKW33C3 - HLBR;23;0;-120;23;0;-120;85;0;-15;45;39;0;C3;80;60;64;58;64;58;Acero/Steel ;2023-08-03 00:00:00;B;;;;
29;B&P-042-22210-CKW33C3 -HLBR;23;0;-120;23;0;-120;90;0;-15;50;39;0;Radial;80;60;64;58;64;58;Acero/Steel ;2023-08-03 00:00:00;B;;;;
30;B&P-042-22211-CW33C3 - HLBR;25;0;-150;25;0;-150;100;0;-15;55;0;-15;C3;90;60;-;-;-;-;Acero/Steel;16/10/2024;C;;;;
31;B&P-042-22211-CKW33C3 - HLBR;25;0;-150;25;0;-150;100;0;-15;55;46;0;C3;95;75;64;58;64;58;Acero/Steel ;2023-08-03 00:00:00;C;;;;
32;B&P-042-22212-CKW33C3 - HLBR;28;0;-150;28;0;-150;110;0;-15;60;0;-15;C3;95;75;64;58;64;58;Acero/Steel ;2018-03-21 00:00:00;0;;;;
33;B&P-042-22213-CW33C3 - HLBR;31;0;-150;31;0;-150;120;0;-15;65;0;-15;C3;90;65;64;58;64;58;Acero/Steel;16/06/2023;B;;;;
34;B&P-042-22216-CKW33C3 - HLBR;33;0;-150;33;0;-150;140;0;-18;80;46;0;C3;120;95;64;58;64;58;Acero/Steel ;2023-08-03 00:00:00;B;;;;
35;B&P-042-22217-CW33C3 - HLBR;36;0;-200;36;0;-200;150;0;-18;85;0;-20;C3;135;100;64;58;64;58;Acero/Steel ;2018-03-21 00:00:00;0;;;;
36;B&P-042-22217-CKW33C3 - HLBR;36;0;-200;36;0;-200;150;0;-18;85;54;0;C3;140;110;64;58;64;58;Acero/Steel ;2023-08-03 00:00:00;B;;;;
