Codigo;Match_Target;Archivo_Auxiliar;Coincidencia;Score;Tipo
B&P-048-SER-51;B&P-048-SER-51 - CMI;R016-01 (INSPECCION ROD. AUTOCENTRANTES)-Rev 11.xlsm;B&P-048-SER-51-CMI;1.000;desconocido
B&P-048-SER-51;B&P-048-SER-51 - FN;R016-01 (INSPECCION ROD. AUTOCENTRANTES)-Rev 11.xlsm;B&P-048-SER-51-CMI;0.800;desconocido
B&P-048-SER-51;B&P-048-SER-51 - FN;R016-01 (INSPECCION ROD. AUTOCENTRANTES)-Rev 11.xlsm;B&P-048-SER-51-CMI;0.800;desconocido
B&P-048-SER-51;B&P-048-SER-51 - FN;R016-01 (INSPECCION ROD. AUTOCENTRANTES)-Rev 11.xlsm;B&P-048-SER-51-CMI;0.800;desconocido
B&P-048-SER-51;B&P-048-SER-51 - FN;R016-01 (INSPECCION ROD. AUTOCENTRANTES)-Rev 11.xlsm;B&P-048-SER-51-CMI;0.800;desconocido
B&P-048-SER-51;B&P-048-SER-51 - FN;R016-01 (INSPECCION ROD. AUTOCENTRANTES)-Rev 11.xlsm;B&P-048-SER-51-CMI;0.800;desconocido
B&P-048-SER-51;B&P-048-SER-51 - FN;R016-01 (INSPECCION ROD. AUTOCENTRANTES)-Rev 11.xlsm;B&P-048-SER-51-CMI;0.800;desconocido
B&P-048-SER-51;B&P-048-SER-51 - FN;R016-01 (INSPECCION ROD. AUTOCENTRANTES)-Rev 11.xlsm;B&P-048-SER-51-CMI;0.800;desconocido
B&P-048-SER-51;B&P-048-SER-51 - FN;R016-01 (INSPECCION ROD. AUTOCENTRANTES)-Rev 11.xlsm;B&P-048-SER-51-CMI;0.800;desconocido
B&P-048-SER-51;B&P-048-SER-51 - FN;R016-01 (INSPECCION ROD. AUTOCENTRANTES)-Rev 11.xlsm;B&P-048-SER-51-CMI;0.800;desconocido
B&P-048-SER-51;B&P-048-SER-51 - FN;R016-01 (INSPECCION ROD. AUTOCENTRANTES)-Rev 11.xlsm;B&P-048-SER-51-CMI;0.800;desconocido
B&P-048-SER-51;B&P-048-SER-51 - FN;R016-01 (INSPECCION ROD. AUTOCENTRANTES)-Rev 11.xlsm;B&P-048-SER-51-CMI;0.800;desconocido
B&P-048-SER-51;B&P-048-SER-51 - FN;R016-01 (INSPECCION ROD. AUTOCENTRANTES)-Rev 11.xlsm;B&P-048-SER-51-CMI;0.800;desconocido
B&P-048-SER-51;B&P-048-SER-51 - FN;R016-01 (INSPECCION ROD. AUTOCENTRANTES)-Rev 11.xlsm;B&P-048-SER-51-CMI;0.800;desconocido
B&P-048-SER-51;B&P-048-SER-51 - FN;R016-01 (INSPECCION ROD. AUTOCENTRANTES)-Rev 11.xlsm;B&P-048-SER-51-CMI;0.800;desconocido
B&P-048-SER-51;B&P-048-SER-51 - FN;R016-01 (INSPECCION ROD. AUTOCENTRANTES)-Rev 11.xlsm;B&P-048-SER-51-CMI;0.800;desconocido
B&P-048-SER-51;B&P-048-SER-51 - FN;R016-01 (INSPECCION ROD. AUTOCENTRANTES)-Rev 11.xlsm;B&P-048-SER-51-CMI;0.800;desconocido
