Codigo;PO;Observac_PO;Columna_D
Producto;OC;;Fecha
FIJ-TUE-0233070210;30;;26/11/2025
FIJ-BUL-0171140210;6;35;19/12/2025
FIJ-BUL-0172140210;6;35;19/12/2025
B&P-001-MS02-D;1231;;18/11/2025
B&P-002-MS02-D;1231;;18/11/2025
B&P-005-RET/SET-MS02;1231;;18/11/2025
B&P-003-BALL-15/64;1231;;18/11/2025
B&P-004-MS02RLD-BLUE;1231;;18/11/2025
B&P-001-MS04-D;1231;;18/11/2025
B&P-002-MS04-D;1231;;18/11/2025
B&P-005-RET/SET-MS04;1231;;18/11/2025
B&P-003-BALL-5/16;1231;;18/11/2025
B&P-004-MS04RLD-BLUE;1231;;18/11/2025
B&P-001-LS01-D;1231;;18/11/2025
B&P-002-LS01-D;1231;;18/11/2025
B&P-005-RET/SET-LS01;1231;;18/11/2025
B&P-003-BALL-3/16;1231;;18/11/2025
B&P-004-LS01RLD-BLUE;1231;;18/11/2025
B&P-001-LS02-D;1231;;18/11/2025
B&P-002-LS02-D;1231;;18/11/2025
B&P-005-RET/SET-LS02;1231;;18/11/2025
B&P-003-BALL-3/16;1231;;18/11/2025
B&P-004-LS02RLD-BLUE;1231;;18/11/2025
B&P-001-LS03-D;1231;;18/11/2025
B&P-002-LS03-D;1231;;18/11/2025
B&P-005-RET/SET-LS03;1231;;18/11/2025
B&P-003-BALL-3/16;1231;;18/11/2025
B&P-004-LS03RLD-BLUE;1231;;18/11/2025
B&P-001-LS04-D;1231;;18/11/2025
B&P-002-LS04-D;1231;;18/11/2025
B&P-005-RET/SET-LS04;1231;;18/11/2025
BPB-003-BALL-1/4;1231;;18/11/2025
B&P-004-LS04RLD-BLUE;1231;;18/11/2025
B&P-001-MS00-D;1231;;18/11/2025
B&P-002-MS00-D;1231;;18/11/2025
B&P-005-RET/SET-MS00;1231;;18/11/2025
B&P-003-BALL-15/64;1231;;18/11/2025
B&P-004-MS00RLD-BLUE;1231;;18/11/2025
B&P-001-MS03-D;120;890;18/11/2025
BPB-035-HK-3038;120;915;18/11/2025
B&P-047-HA-207;120;910;18/11/2025
B&P-047-HA-209;120;910;18/11/2025
B&P-047-T-210;120;910;18/11/2025
B&P-047-T-208;120;910;18/11/2025
B&P-002-MS03-D;120;890;18/11/2025
BPB-047-T-212;120;910;18/11/2025
B&P-005-RET/SET-MS03;120;890;18/11/2025
B&P-003-BALL-17/64;120;890;18/11/2025
B&P-004-MS03RLD-BLUE;120;890;18/11/2025
B&P-035-NK-2520;120;915;18/11/2025
BPB-035-NK-3230;120;915;18/11/2025
BPB-035-NKI-2020;120;915;18/11/2025
B&P-037-BP-21001-BI;1224;;18/11/2025
B&P-037-BP-21001-BD;1224;;18/11/2025
B&P-040-51116;1249;;18/11/2025
BPB-040-51204;1249;;18/11/2025
B&P-040-51208;1249;;18/11/2025
B&P-040-51106;1249;;18/11/2025
